# Change log

Date          Version   Comment
2016/11/07    1.1.1     Remove requirement to install booktool_importhtml
2016/10/31    1.1.0     Retain table border style, handle WMF images better, support pre-formatted text
2016/04/12    1.0.1     Fix support for table headings (thead), offset headings from h3, not h1.
2016/04/09    1.0.0     Allow table styling based on class, declare plugin stable.
2016/04/07    0.9.7     Improve table formatting, support boxed text in books.
2016/02/08    0.9.6     Add support for images when exporting books to Word.
2016/02/06    0.9.5     Add basic support for exporting books to Word.
2016/02/06    0.9.4     Handle Word 2013 and LibreOffice files better.
2016/01/20    0.9.3     Clean up spans to omit default text colour, remove underline from links.
2016/01/07    0.9.2     Handle case where Word file has no Heading 1 styles.
2016/01/07    0.9.1     Re-instate some debugging to avoid errors.
2016/01/07    0.9.0     Support subchapters using Heading 2 styles, and embedded images.
2016/01/06    0.1.0     Support splitting Word files into chapters using Heading 1 style as delimiter.
2015/12/22    0.0.2     Initial working version.
